match_id,event,year,map,player,agent,rating,acs,kills,deaths,assists,plus_minus_kd,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_fkd,clutches
427996,americas_kickoff_2025,2025,split,bang,omen,1.19,221,13,/ 11 /,10,2,88%,137,32%,3,1,2,0
427996,americas_kickoff_2025,2025,pearl,zellsis,vyse,1.05,169,13,/ 14 /,4,-1,67%,115,17%,0,2,-2,0
427996,americas_kickoff_2025,2025,pearl,bang,astra,1,182,12,/ 14 /,10,-2,71%,129,31%,2,2,0,0
427996,americas_kickoff_2025,2025,pearl,zekken,yoru,1,220,16,/ 16 /,3,0,62%,135,22%,2,4,-2,1
427996,americas_kickoff_2025,2025,pearl,johnqt,tejo,0.68,160,11,/ 16 /,5,-5,67%,101,31%,3,1,2,0
427996,americas_kickoff_2025,2025,pearl,n4rrate,fade,0.67,150,11,/ 15 /,7,-4,71%,87,14%,3,2,1,0
427996,americas_kickoff_2025,2025,abyss,johnqt,tejo,1.57,263,20,/ 11 /,3,9,82%,191,23%,4,1,3,1
427996,americas_kickoff_2025,2025,abyss,bang,astra,1.08,223,16,/ 14 /,12,2,82%,124,42%,1,2,-1,0
427996,americas_kickoff_2025,2025,abyss,n4rrate,omen,1.01,162,14,/ 13 /,3,1,73%,113,33%,2,0,2,1
427996,americas_kickoff_2025,2025,abyss,zellsis,kayo,0.94,161,12,/ 15 /,18,-3,73%,86,18%,1,2,-1,0
427996,americas_kickoff_2025,2025,abyss,zekken,jett,0.91,190,16,/ 13 /,2,3,59%,133,31%,4,5,-1,0
427996,americas_kickoff_2025,2025,fracture,johnqt,tejo,0.9,163,9,/ 14 /,6,-5,56%,120,31%,0,2,-2,0
427996,americas_kickoff_2025,2025,fracture,zekken,yoru,0.88,160,10,/ 13 /,2,-3,61%,113,25%,2,3,-1,0
427996,americas_kickoff_2025,2025,fracture,zellsis,vyse,0.85,194,11,/ 15 /,5,-4,56%,161,24%,0,5,-5,0
427996,americas_kickoff_2025,2025,fracture,n4rrate,breach,0.74,151,9,/ 15 /,4,-6,61%,103,30%,2,1,1,1
427996,americas_kickoff_2025,2025,fracture,bang,brimstone,0.52,122,6,/ 16 /,7,-10,56%,78,31%,2,1,1,0
427996,americas_kickoff_2025,2025,haven,bang,omen,1.12,228,19,/ 17 /,10,2,78%,153,51%,2,1,1,0
427996,americas_kickoff_2025,2025,haven,n4rrate,iso,1.09,281,21,/ 19 /,7,2,74%,177,33%,7,2,5,0
427996,americas_kickoff_2025,2025,haven,johnqt,sova,1.04,201,15,/ 16 /,7,-1,70%,159,36%,1,2,-1,0
427996,americas_kickoff_2025,2025,haven,zekken,yoru,0.83,161,15,/ 16 /,3,-1,65%,101,22%,1,3,-2,0
427996,americas_kickoff_2025,2025,haven,zellsis,cypher,0.51,124,9,/ 18 /,6,-9,57%,80,26%,1,3,-2,1
596422,americas_kickoff_2026,2026,split,johnqt,omen,1.04,205,12,/ 15 /,4,-3,72%,144,30%,1,3,-2,0
596422,americas_kickoff_2026,2026,split,cortezia,viper,0.89,206,12,/ 14 /,7,-2,72%,158,27%,1,2,-1,1
596422,americas_kickoff_2026,2026,split,reduxx,yoru,0.8,157,9,/ 16 /,5,-7,61%,100,35%,3,2,1,0
596422,americas_kickoff_2026,2026,split,kyu,tejo,0.74,153,10,/ 15 /,2,-5,56%,103,21%,0,2,-2,1
596422,americas_kickoff_2026,2026,split,n4rrate,waylay,0.52,155,10,/ 16 /,2,-6,67%,93,18%,0,4,-4,0
596422,americas_kickoff_2026,2026,breeze,johnqt,astra,1.75,253,25,/ 8 /,5,17,92%,170,39%,0,0,0,2
596422,americas_kickoff_2026,2026,breeze,n4rrate,neon,0.98,210,19,/ 17 /,2,2,54%,145,40%,3,6,-3,0
596422,americas_kickoff_2026,2026,breeze,kyu,skye,0.95,197,15,/ 18 /,8,-3,63%,136,27%,1,2,-1,0
596422,americas_kickoff_2026,2026,breeze,cortezia,viper,0.72,163,13,/ 17 /,3,-4,63%,113,50%,4,0,4,0
596422,americas_kickoff_2026,2026,breeze,reduxx,yoru,0.4,100,6,/ 18 /,4,-12,58%,72,35%,3,5,-2,0
596422,americas_kickoff_2026,2026,abyss,johnqt,tejo,1.76,295,24,/ 9 /,1,15,90%,195,43%,1,0,1,0
596422,americas_kickoff_2026,2026,abyss,reduxx,yoru,1.23,229,18,/ 12 /,5,6,76%,158,58%,4,1,3,0
596422,americas_kickoff_2026,2026,abyss,kyu,breach,0.99,138,12,/ 11 /,6,1,76%,76,15%,1,0,1,0
596422,americas_kickoff_2026,2026,abyss,n4rrate,waylay,0.92,201,13,/ 15 /,6,-2,86%,144,26%,4,2,2,0
596422,americas_kickoff_2026,2026,abyss,cortezia,astra,0.81,122,9,/ 13 /,5,-4,71%,90,38%,3,3,0,0
596422,americas_kickoff_2026,2026,pearl,johnqt,astra,1.25,215,22,/ 13 /,9,9,92%,129,25%,2,0,2,1
596422,americas_kickoff_2026,2026,pearl,reduxx,yoru,1.18,242,20,/ 16 /,6,4,71%,149,27%,7,3,4,0
596422,americas_kickoff_2026,2026,pearl,kyu,sova,1.05,221,17,/ 15 /,9,2,88%,147,24%,2,3,-1,0
596422,americas_kickoff_2026,2026,pearl,cortezia,killjoy,0.86,153,11,/ 15 /,6,-4,63%,124,31%,0,4,-4,1
596422,americas_kickoff_2026,2026,pearl,n4rrate,waylay,0.63,140,11,/ 18 /,6,-7,63%,100,20%,0,3,-3,0
596422,americas_kickoff_2026,2026,corrode,johnqt,tejo,1.73,327,30,/ 15 /,4,15,75%,205,27%,3,0,3,3
596422,americas_kickoff_2026,2026,corrode,kyu,fade,1.02,196,16,/ 16 /,7,0,63%,124,15%,2,2,0,1
596422,americas_kickoff_2026,2026,corrode,cortezia,viper,0.96,213,16,/ 17 /,6,-1,71%,163,27%,2,1,1,0
596422,americas_kickoff_2026,2026,corrode,n4rrate,waylay,0.61,133,9,/ 19 /,10,-10,67%,95,16%,1,2,-1,0
